"TOA5","Meteo","CR1000","5773","CR1000.Std.12","CPU:METEO V3.1.CR1","62022","Half_Uur"
"TIMESTAMP","RECORD","S_Temp_1_Avg","S_Temp_2_Avg","Temp_CNR1_Avg","Temp_Cab_Avg","Temp_02_m_Avg","Temp_24_m_Avg","Temp_40_m_Avg","R_H_02_m_Avg","R_H_24_m_Avg","R_H_40_m_Avg","Total_Rad_Avg","Diffuse_Rad_Avg","Barometer_Avg","Solar_R_I_Avg","Solar_R_R_Avg","IR_R_I_Avg","IR_R_R_Avg","Solar_Net_Avg","IR_Net_Avg","Total_Net_Avg","Albedo_Avg","H_Flux_1_Avg","H_Flux_2_Avg","Solar_Rad_Avg","Net_Rad_Avg","H20_Depth_Avg","Wind_24_m_Avg","Wind_32_m_Avg","Wind_40_m_old_Avg","Wind_40_m","Wind_Dir_WVT","Wind_40_m_Max","Wind_40_m_TMx","Wet_Gr_NE_Hst","Wet_Gr_SW_Hst","Sun_Hours_Tot","T_Fall_1_Tot","T_Fall_2_Tot","Precipit_Tot","ETo","lfWet_(1)","lfWet_(2)","lfWet_(3)","Wet__Hst(1)","Wet__Hst(2)","Wet__Hst(3)"
"TS","RN","°c","°c","°c","°c","°c","°c","°c","% R.H.","% R.H.","% R.H.","µmol/m²s","µmol/m²s","mb","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","%","W/m²","W/m²","W/m²","W/m²","cm","m/s","m/s","m/s","m/s","Deg","m/s","m/s","% Wet","% Wet","% Sun","mm","mm","mm","mm/s","%Wet","%Wet","%Wet","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","Max","TMx","Hst,1,1.0000e+00,0.0000e+00,1.5000e+02","Hst,1,1.0000e+00,0.0000e+00,1.5000e+02","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Hst,1,1.0000e+00,2.7400e+02,1.0000e+03","Hst,1,1.0000e+00,2.7400e+02,1.0000e+03","Hst,1,1.0000e+00,2.7400e+02,1.0000e+03"
"2011-01-11 15:00:00",1350,5.327,4.686,6.22,22.67,6.082,6.226,6.083,95.6,91,91.5,260.6,598.9,1004,16.04,0.602,340.2,344.9,15.44,-4.741,10.7,0.037,-3.522,-1.741,"NAN","NAN",-76.84,2.691,3.477,3.379,3.843,265.5,6.609,"2011-01-11 14:31:15",0,0,0.142,0,0,0,0.011,277.6,272.8,274.9,1,0,1
"2011-01-11 15:30:00",1351,5.274,4.737,6.257,22.77,6.057,6.26,6.108,95.9,91.2,91.2,262.5,566.2,1004,15.89,0.672,340.7,345.2,15.22,-4.584,10.63,0.041,-3.38,-1.54,"NAN","NAN",-77.34,2.026,2.78,2.897,3.27,268.1,5.453,"2011-01-11 15:19:45",0,0,0.142,0,0,0,0.011,277.3,272.8,274.9,1,0,1
"2011-01-11 16:00:00",1352,5.306,4.799,6.101,22.85,6.007,6.219,6.117,96.5,91.9,91.3,265.9,623.1,1005,6.926,0.432,341.5,345,6.494,-3.541,2.952,0.067,-3.194,-1.516,"NAN","NAN",-77.87,1.796,2.339,2.356,2.642,268.2,4.454,"2011-01-11 15:54:45",0.683,0.608,0.067,0,0,0,0.001,283.1,310.4,434.9,1,0.817,1
"2011-01-11 16:30:00",1353,5.286,4.818,5.96,22.83,5.998,6.087,5.96,98.2,94.8,92.4,260.9,632.1,1005,4.297,0.45,342.7,344.5,3.847,-1.778,2.068,0.109,-3.016,-1.429,"NAN","NAN",-78.44,2.284,3.024,2.921,3.316,266.7,5.59,"2011-01-11 16:16:45",1,1,0.092,0,0,0.128,0.001,285.1,418.5,414.4,1,1,1
"2011-01-11 17:00:00",1354,5.307,4.848,5.975,22.83,6.025,6.082,5.982,99.2,96.2,93.4,262,685.1,1006,1.429,0.273,343,344.6,1.156,-1.555,-0.399,0.175,-2.844,-1.365,"NAN","NAN",-79.02,2.448,3.488,3.531,3.984,270.4,6.957,"2011-01-11 16:50:00",1,1,0.075,0.161,0.079,0.128,0.001,283.8,376.1,388.4,1,1,1
"2011-01-11 17:30:00",1355,5.272,4.912,5.937,22.8,5.998,6.012,5.914,99.5,96.7,94.2,265.8,782.4,1007,0.074,0.096,342.3,344.4,-0.022,-2.098,-2.121,0,-2.65,-1.357,"NAN","NAN",-79.62,2.777,3.74,3.746,4.249,273.2,7.438,"2011-01-11 17:27:30",1,1,0.05,0.161,0.079,0.256,0.001,284.4,425.3,422.6,1,1,1
"2011-01-11 18:00:00",1356,5.352,4.956,5.615,22.82,5.727,5.717,5.474,99.5,96.5,95.5,259.4,742.9,1007,-0.022,0.133,338.8,343.2,-0.155,-4.392,-4.547,0,-2.503,-1.247,"NAN","NAN",-80.1,2.726,3.87,3.97,4.485,280.2,7.068,"2011-01-11 17:49:15",1,1,0.058,0.242,0.238,0.256,0.001,283.1,388.4,396.6,1,1,1
"2011-01-11 18:30:00",1357,5.358,4.972,5.404,22.82,5.497,5.48,5.248,99.6,97.8,95.7,253.9,719.7,1008,-0.037,0.144,338.2,342.3,-0.181,-4.067,-4.248,0,-2.307,-1.083,"NAN","NAN",-80.7,2.746,3.705,3.759,4.226,273.6,8.35,"2011-01-11 18:25:00",1,1,0.067,0.081,0.079,0,0.001,283.8,343.3,376.1,1,1,1
